Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Box type (product.metafields.shopify.box-type),Color (product.metafields.shopify.color-pattern),Features (product.metafields.shopify.features),Fit type (product.metafields.shopify.fit-type),Hardware mounting type (product.metafields.shopify.hardware-mounting-type),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Manufacturer type (product.metafields.shopify.manufacturer-type),Material (product.metafields.shopify.material),Mount material (product.metafields.shopify.mount-material),Organizer type (product.metafields.shopify.organizer-type),Vehicle drive/handling features (product.metafields.shopify.vehicle-drive-handling-features),Vehicle type (product.metafields.shopify.vehicle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
kawasaki-ridge-rear-packout-mount,Kawasaki Ridge Rear Packout Mount,"<p class=""short-description"">Our Milwaukee Packout Mount is the perfect storage solution for your Kawasaki Ridge. This is our rear mount, designed to sit near the back of your bed, close to the tailgate. It installs using existing mounting holes along with four self-drilling screws. Installation is quick and easy—just remove the bed bolts and replace them with the supplied bolts, then use the four provided self-drilling screws to secure the rear of the mount to the bed. We CNC laser cut each mount in-house from 10-gauge P.O. steel and finish it with a black powder coat.</p>
<p class=""usa-img""><img class=""wp-image-484"" src=""https://cdn.shopify.com/s/files/1/0682/5603/9143/files/madeinusa.webp?v=1711118973"" alt=""made in the usa"" width=""168"" height=""168""></p>
<ul class=""description-list"">
<li>Perfect Storage Solution</li>
<li>Rear mount towards your tailgate</li>
<li>Fit Kawasaki Ridge</li>
<li>Easy Install</li>
<li>Many Milwaukee options</li>
<li>Fits two large Packout Boxes</li>
<li>Made in USA</li>
</ul>
<div class=""shortdescriptionbottom""><br></div>
<!-- split -->
<p>SKU: 200657</p>
<p>This mount works with Kawasaki Ridge, along with any other model that has the same bed configuration.  It is designed to bolt in the rear of your bed closes to the tailgate.  It uses 2 factory bolt holes and then also 4 self-drilling bolts that you drill in your bed. </p>
<p>Keep your Milwaukee Packout boxes secure with our <a href=""https://ajkoffroad.com/products/packout-mount-lock?_pos=1&amp;_sid=1a136a51d&amp;_ss=r""><strong>Packout lock</strong></a>.</p>
<p>Milwaukee offers a wide variety of tool boxes—each one stackable and available in multiple sizes. They even offer a large cooler.</p>",AJK Offroad,Uncategorized,,woo_import_1,TRUE,Title,Default Title,,,,,,,,'200657,8618.25503,shopify,20,continue,manual,198.71,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200657.1.jpg?v=1763742293,1,,FALSE,,"Our Milwaukee Packout Mount is the perfect storage solution for your Kawasaki Ridge. This is our rear mount, designed to sit near the back of your bed, close to the tailgate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
kawasaki-ridge-rear-packout-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200657.3.jpg?v=1763742331,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kawasaki-ridge-rear-packout-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200657.2.jpg?v=1763742331,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kawasaki-ridge-rear-packout-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200657.4.jpg?v=1763742293,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kawasaki-ridge-rear-packout-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200657.5.jpg?v=1763742293,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kawasaki-ridge-rear-packout-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200657.6.jpg?v=1763742293,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kawasaki-ridge-rear-packout-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200657.7.jpg?v=1763742293,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-lower-door-accents,CF Moto UForce U10 Lower Door Accents,"<p><span style=""font-weight: 400;""><img class=""alignnone size-full wp-image-484"" src=""https://cdn.shopify.com/s/files/1/0682/5603/9143/files/madeinusa.webp?v=1711118973"" alt=""made in the usa"" width=""168"" height=""168""> </span></p>
<ul>
<li>Sold as a set Driver and Passenger</li>
<li>Sets your machine apart from the rest</li>
<li>Powder coated factory colors</li>
<li>Uses self-drilling screws to install</li>
<li>Made in USA</li>
</ul>
<p><!-- split --></p>
<p>Our CF Moto UForce U10 Lower Door Accents is a great way to set your machine apart from the rest.  Our Lower Door Accents fasten to your machine by using the supplied self drilling screws.                      </p>
<p>This is roughly a 15 minute install.</p>
<p>These are powder coated factory machine colors.</p>
<p>INSTALL:  The Driver and Passenger Accents are different heights.  Please fit on your machine before installing.</p>",AJK Offroad,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Frame & Body Parts,,,TRUE,Color,raw,product.metafields.shopify.color-pattern,2 OR 4 Door,2 Door,,,,,1)661-2-3-8-9 RAW,907.18474,shopify,20,continue,manual,74.35,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200661.1.jpg?v=1763739000,1,,FALSE,,,8227,,,,,,,,,,,,,,raw; black-1; silver-1; bordeaux-red-n-a-yet,,,,,,,,,,,,,,,,,lb,,,active
cf-moto-uforce-u10-lower-door-accents,,,,,,,,,raw,,,4 Door,,,,,1)661-2-3-4-5-6-7-8-9 RAW,1814.36948,shopify,20,continue,manual,149.62,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200661.7.jpg?v=1763739383,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cf-moto-uforce-u10-lower-door-accents,,,,,,,,,black-1,,,2 Door,,,,,1)661-2-3-8-9 Black,907.18474,shopify,20,continue,manual,87.11,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200661.3.jpg?v=1763739383,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
