Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Cover material (product.metafields.shopify.cover-material),Fit type (product.metafields.shopify.fit-type),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Light source (product.metafields.shopify.light-source),Lighting features (product.metafields.shopify.lighting-features),Manufacturer type (product.metafields.shopify.manufacturer-type),Vehicle frame/body features (product.metafields.shopify.vehicle-frame-body-features),Vehicle mirror design (product.metafields.shopify.vehicle-mirror-design),Vehicle mirror type (product.metafields.shopify.vehicle-mirror-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
light-bar-mounting-kit-for-jeep-cherokee,Light Bar Mounting Kit for Jeep Cherokee,"<p><span>The ATC Light Bar Mounting Kit is designed for Jeep Cherokee models from 1984 to 2001. </span></p>
<div>This bracket is made of durable steel with a powder-coated black finish, making it corrosion-resistant and heavy-duty. </div>
<div>Comes as a set of 2. </div>",All Terrain Concepts,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,Jeep Only,"bracket, Brackets, cherokee  bracket, Jeep, light bar bracket, lightbar bracket",true,Title,Default Title,,,,,,,,XJT,2267.96185,,0,deny,manual,60.00,,true,true,03651664112836,https://cdn.shopify.com/s/files/1/1803/9213/files/XJ50TOP.jpg?v=1736283021,1,"",false,,,,,,,,,,,,,,,,black,,direct,new,metal,,,aftermarket,,,,,lb,,,true,,,active
a-pillar-light-pod-bracket-forjeep-cherokee-xj,A Pillar Light POD bracket ForJeep Cherokee XJ,"<p><span>Enhance Your Jeep Cherokee's Lighting Setup with All Terrain Concepts A-Pillar Light POD Bracket! Designed specifically for Jeep Cherokee models from 1984 to 2001, this bracket is the perfect solution for mounting LED POD lights and elevating your vehicle's lighting capabilities.</span></p>",All Terrain Concepts,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,Jeep Only,"bracket, Brackets, cherokee, cherokee  bracket, Jeep, led bracket",true,Title,Default Title,,,,,,,,XJP,2267.96185,,0,deny,manual,45.00,,true,true,3651664112829,https://cdn.shopify.com/s/files/1/1803/9213/files/XJDitch.jpg?v=1736281953,1,"",false,,,,,,,,,,,,,,,,black,,,new,,,,,,,,,lb,,,true,,,active
atc-rack-bracket-and-light-kit-for-subaru-outback,ATC Rack Bracket And Light Kit for Subaru Outback,"<p><span>Upgrade Your Subaru Outback's Utility and Style with the ATC Rack Brackets! <br></span><span>Designed to fit Subaru Outback models from 2000 to 2024, this set offers a versatile and functional solution for your vehicle. Whether you're an outdoor enthusiast or simply need more cargo space, this kit has you covered.</span></p>",All Terrain Concepts,Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Storage & Cargo > Motor Vehicle Carrying Racks > Vehicle Cargo Racks,Brackets and Mounts,"bracket, Brackets, Subaru",true,Title,Default Title,,,,,,,,SDO-SCENE2,2267.96185,,0,deny,manual,65.00,,true,true,3651664112256,https://cdn.shopify.com/s/files/1/1803/9213/files/Subarutoprackbracket.jpg?v=1736279194,1,"",false,,,,,,,,,,,,,,,,,,,new,,,,,,,,,lb,,,true,,,active
atc-rack-bracket-and-light-kit-for-subaru-outback,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1803/9213/files/SubaruScene.jpg?v=1736279195,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
processing-fee-3,Processing Fee,,All Terrain Concepts,Uncategorized,mws_fee_generated,mws_fee_generated,true,Title,CC Processing Fee,,,,,,,,,0.0,,0,continue,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/1803/9213/files/ATC_Logo_on_White.svg?v=1729541934,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1803/9213/files/ATC_Logo_on_White.svg?v=1729541934,lb,,,true,,,active
processing-fee-3,,,,,,,,,CC Processing Fee -mws-1,,,,,,,,,0.0,,0,continue,manual,3105.90,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-2,,,,,,,,,0.0,,0,continue,manual,3105.90,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-3,,,,,,,,,0.0,,0,continue,manual,3117.90,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-4,,,,,,,,,0.0,,0,continue,manual,3132.90,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-5,,,,,,,,,0.0,,0,continue,manual,3132.90,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
