Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Included / United States,Price / United States,Compare At Price / United States,Status
2019–2023-Honda-Talon-1000R/1000X-Lower,2019–2023 Honda Talon 1000R/1000X Lower Heavy Duty Ball Joint,"Demon Heavy Duty Ball joints are an essential upgrade to your machines suspension! These ball joints are built based on tests they are twice as strong as OEM. We achieved that by making the entire ball joint from dual heat treated 4340 chromoly steel and zinc plating it for maximum durability. Plus our stud doesn’t  narrow down as much as stock. The Ball joints are also serviceable that’s why we put a grease fitting in our heavy duty ball joints, so you can keep it running smoothly. We also made it adjustable with a convenient threaded cap, that way you can adjust the stud tension to your liking. It’s the strongest and most reliable ball joint on the market. ",Demon Powersports,,Heavy Duty Ball Joint,,TRUE,Title,Default Title,,,,,,,,PABJ-4004HD,0,shopify,5,deny,manual,82,82,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PABJ-4004HD.jpg?v=1670361430,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"2019–2024-Honda-Talon-1000X/1000R,-Pioneer-1000-Upper","2019–2024 Honda Talon 1000X/1000R, Pioneer 1000 Upper Heavy Duty Ball Joint","Demon Heavy Duty Ball joints are an essential upgrade to your machines suspension! These ball joints are built based on tests they are twice as strong as OEM. We achieved that by making the entire ball joint from dual heat treated 4340 chromoly steel and zinc plating it for maximum durability. Plus our stud doesn’t  narrow down as much as stock. The Ball joints are also serviceable that’s why we put a grease fitting in our heavy duty ball joints, so you can keep it running smoothly. We also made it adjustable with a convenient threaded cap, that way you can adjust the stud tension to your liking. It’s the strongest and most reliable ball joint on the market. ",Demon Powersports,,Heavy Duty Ball Joint,,TRUE,Title,Default Title,,,,,,,,PABJ-4005HD,0,shopify,5,deny,manual,82,82,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PABJ-4005HD.jpg?v=1726869619,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"2011–2024-Can-Am-Defender-HD9/HD8/HD10/Max-HD10/Max-HD8/HD5/HD7,-Maverick-1000/Max-1000/X3/X3-Max/Trail-1000/Trail-800/Sport-1000/Sport-Max-1000/R,-Renegade-1000/500/800/570/850,-Commander-1000/800/Max-1000/E/Max-800,-Outlander-800/1000/500/650/1000-Max/500-Max/650-Max/800-Max/450-Max/450/570/570-Max/850/850-Max-Lower","2011–2024 Can-Am Defender HD9/HD8/HD10/Max HD10/Max HD8/HD5/HD7, Maverick 1000/Max 1000/X3/X3 Max/Trail 1000/Trail 800/Sport 1000/Sport Max 1000/R, Renegade 1000/500/800/570/850, Commander 1000/800/Max 1000/E/Max 800, Outlander 800/1000/500/650/1000 Max/500 Max/650 Max/800 Max/450 Max/450/570/570 Max/850/850 Max Lower Heavy Duty Ball Joint","Demon Heavy Duty Ball joints are an essential upgrade to your machines suspension! These ball joints are built based on tests they are twice as strong as OEM. We achieved that by making the entire ball joint from dual heat treated 4340 chromoly steel and zinc plating it for maximum durability. Plus our stud doesn’t  narrow down as much as stock. The Ball joints are also serviceable that’s why we put a grease fitting in our heavy duty ball joints, so you can keep it running smoothly. We also made it adjustable with a convenient threaded cap, that way you can adjust the stud tension to your liking. It’s the strongest and most reliable ball joint on the market. ",Demon Powersports,,Heavy Duty Ball Joint,,TRUE,Title,Default Title,,,,,,,,PABJ-5006HD,0,shopify,5,deny,manual,82,82,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PABJ-5006HD.jpg?v=1683566047,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"2011–2024-Can-Am-Defender-HD9/HD8/HD10/Max-HD10/Max-HD8/HD5/HD7,-Commander-1000/800/Max-1000/E/Max-800,-Outlander-800/1000/500/650/1000-Max/500-Max/650-Max/800-Max/450/450-Max/570/570-Max/850/850-Max,-Renegade-1000/500/800/570/850,-Maverick-1000/Max-1000/X3/X3-Max/Trail-1000/Trail-800/Sport-1000/Sport-Max-1000/R-Upper","2011–2024 Can-Am Defender HD9/HD8/HD10/Max HD10/Max HD8/HD5/HD7, Commander 1000/800/Max 1000/E/Max 800, Outlander 800/1000/500/650/1000 Max/500 Max/650 Max/800 Max/450/450 Max/570/570 Max/850/850 Max, Renegade 1000/500/800/570/850, Maverick 1000/Max 1000/X3/X3 Max/Trail 1000/Trail 800/Sport 1000/Sport Max 1000/R Upper Heavy Duty Ball Joint","Demon Heavy Duty Ball joints are an essential upgrade to your machines suspension! These ball joints are built based on tests they are twice as strong as OEM. We achieved that by making the entire ball joint from dual heat treated 4340 chromoly steel and zinc plating it for maximum durability. Plus our stud doesn’t  narrow down as much as stock. The Ball joints are also serviceable that’s why we put a grease fitting in our heavy duty ball joints, so you can keep it running smoothly. We also made it adjustable with a convenient threaded cap, that way you can adjust the stud tension to your liking. It’s the strongest and most reliable ball joint on the market. ",Demon Powersports,,Heavy Duty Ball Joint,,TRUE,Title,Default Title,,,,,,,,PABJ-5008HD,0,shopify,5,deny,manual,82,82,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PABJ-5008HD.jpg?v=1683566047,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"2008–2023-Polaris-RZR-800/170/900/570/S/1000,-Ranger-500/700/800/EV/Diesel/900/570/ETX/1000,-Sportsman-850/550/1000,-Scrambler-850/1000,-General-1000-Lower,-Upper","2008–2023 Polaris RZR 800/170/900/570/S/1000, Ranger 500/700/800/EV/Diesel/900/570/ETX/1000, Sportsman 850/550/1000, Scrambler 850/1000, General 1000 Lower, Upper Heavy Duty Ball Joint","Demon Heavy Duty Ball joints are an essential upgrade to your machines suspension! These ball joints are built based on tests they are twice as strong as OEM. We achieved that by making the entire ball joint from dual heat treated 4340 chromoly steel and zinc plating it for maximum durability. Plus our stud doesn’t  narrow down as much as stock. The Ball joints are also serviceable that’s why we put a grease fitting in our heavy duty ball joints, so you can keep it running smoothly. We also made it adjustable with a convenient threaded cap, that way you can adjust the stud tension to your liking. It’s the strongest and most reliable ball joint on the market. ",Demon Powersports,,Heavy Duty Ball Joint,,TRUE,Title,Default Title,,,,,,,,PABJ-6007HD,0,shopify,5,deny,manual,82,82,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PABJ-6007HD.jpg?v=1683566047,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"2014–2024-Polaris-General-1000,-RZR-1000/Turbo/Turbo-S/RS1/PRO-XP/Pro-R/Turbo-R,-Ranger-1000-Lower,-Upper","2014–2024 Polaris General 1000, RZR 1000/Turbo/Turbo S/RS1/PRO XP/Pro R/Turbo R, Ranger 1000 Lower, Upper Heavy Duty Ball Joint","Demon Heavy Duty Ball joints are an essential upgrade to your machines suspension! These ball joints are built based on tests they are twice as strong as OEM. We achieved that by making the entire ball joint from dual heat treated 4340 chromoly steel and zinc plating it for maximum durability. Plus our stud doesn’t  narrow down as much as stock. The Ball joints are also serviceable that’s why we put a grease fitting in our heavy duty ball joints, so you can keep it running smoothly. We also made it adjustable with a convenient threaded cap, that way you can adjust the stud tension to your liking. It’s the strongest and most reliable ball joint on the market. ",Demon Powersports,,Heavy Duty Ball Joint,,TRUE,Title,Default Title,,,,,,,,PABJ-6008HD,0,shopify,5,deny,manual,82,82,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PABJ-6008HD.jpg?v=1683566047,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"2014–2024-Polaris-General-1000,-RZR-1000/Turbo/Turbo-S/RS1/PRO-XP,-Ranger-1000-Lower,-Upper","2014–2024 Polaris General 1000, RZR 1000/Turbo/Turbo S/RS1/PRO XP, Ranger 1000 Lower, Upper Heavy Duty Ball Joint","Demon Heavy Duty Ball joints are an essential upgrade to your machines suspension! These ball joints are built based on tests they are twice as strong as OEM. We achieved that by making the entire ball joint from dual heat treated 4340 chromoly steel and zinc plating it for maximum durability. Plus our stud doesn’t  narrow down as much as stock. The Ball joints are also serviceable that’s why we put a grease fitting in our heavy duty ball joints, so you can keep it running smoothly. We also made it adjustable with a convenient threaded cap, that way you can adjust the stud tension to your liking. It’s the strongest and most reliable ball joint on the market. ",Demon Powersports,,Heavy Duty Ball Joint,,TRUE,Title,Default Title,,,,,,,,PABJ-6009HD,0,shopify,5,deny,manual,82,82,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PABJ-6009HD.jpg?v=1683566048,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"2016–2024-Yamaha-YXZ-1000R,-Wolverine-RMAX2/RMAX4/X2/X4-Lower,-Upper","2016–2024 Yamaha YXZ 1000R, Wolverine RMAX2/RMAX4/X2/X4 Lower, Upper Heavy Duty Ball Joint","Demon Heavy Duty Ball joints are an essential upgrade to your machines suspension! These ball joints are built based on tests they are twice as strong as OEM. We achieved that by making the entire ball joint from dual heat treated 4340 chromoly steel and zinc plating it for maximum durability. Plus our stud doesn’t  narrow down as much as stock. The Ball joints are also serviceable that’s why we put a grease fitting in our heavy duty ball joints, so you can keep it running smoothly. We also made it adjustable with a convenient threaded cap, that way you can adjust the stud tension to your liking. It’s the strongest and most reliable ball joint on the market. ",Demon Powersports,,Heavy Duty Ball Joint,,TRUE,Title,Default Title,,,,,,,,PABJ-8006HD,0,shopify,5,deny,manual,82,82,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PABJ-8006HD.jpg?v=1683566047,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"2012–2023-Kubota-RTV900,-RTV-X900,-RTV-X1100,-RTV-X1120,-RTV-X1140,-RTV-XG850","2012–2023 Kubota RTV900, RTV-X900, RTV-X1100, RTV-X1120, RTV-X1140, RTV-XG850 Demon Heavy Duty Bracket Lift Kit","Take your machine to a new height! This 4 corner lift will pick your machine making room for larger tires. This also gives your vehicle a more beefy stance while giving practicality of more ground clearance. Lift kit consists of all parts, hardware and instructions to be installed. Install time is approximately 1 1/2 to 2 hours. This lift kit has been engineered with longevity and hard use in mind. A must have if you're wanting to get the most ground clearance out of your vehicle without harming your factory suspension.",Demon Powersports,,Bracket Lift Kit,,TRUE,Title,Default Title,,,,,,,,PABL-31001HD,0,shopify,5,deny,manual,170,170,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PABL-31001.jpg,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
2017–2023-Can-Am-Maverick-X3,2017–2023 Can-Am Maverick X3 Demon Half Door,"Refresh the look of your machine with the Demon lower doors. These doors go with any color scheme and blends in perfectly while making your machine look sleek. The doors are made from aluminum and will be easy to install and fit without any modifications. Designed for ultimate protection, these aluminum doors are lightweight and contoured to your machine's shape giving your ride a Demon look. The fit is tight, rattle free and leaves no gaps so no need to worry about unwanted noise while riding. Keep that dirt, water, and mud out of your machine while you're killing it on the trail!",Demon Powersports,,Half Door,,TRUE,Title,Default Title,,,,,,,,PAD-3001HD,0,shopify,0,deny,manual,115,115,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PAD-3001.jpg?v=1640099546,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
