Handle,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Cost per item
motorcycle-touchscreen-gloves-with-rubber-guard-f1109-06701m,Vehicle Fitment,Universal,,,,,F1109-06701MBK,21.99,18.03
motorcycle-2-fingerless-design-paintball-airsoft-gloves-f1109-06901m,Vehicle Fitment,Universal,,,,,F1109-06901MBK,21.99,18.03
winter-motorcycle-gloves-men-women-f1109-04001m,Vehicle Fitment,Universal,,,,,F1109-04001MRD,39.99,32.79
hunting-waterproof-rubber-boots-b1706-00101c,Vehicle Fitment,Universal,,,,,B1706-00101CM5,59.99,49.19
3-bow-bimini-top-for-boat-b1604-02301b,Vehicle Fitment,Universal,,,,,B1604-02301BG,119.99,98.39
utv-flag-mount-whip-light-mount-for-1-75-to-2-inch-roll-bar-b0111-02504b,Vehicle Fitment,Universal,,,,,B0111-02504BK-gg,49.99,40.99
heated-vest-by-app-temp-control-2500mah-heated-gloves-f1117-07201s,Vehicle Fitment,Universal,,,,,F1117-07201SBK+F1109-01805MBK-ZH,209.99,172.19
heated-hoodie-2500mah-heated-gloves-f1117-04901s,Vehicle Fitment,Universal,,,,,F1117-04901SBK+F1109-01805MBK-ZH,239.99,196.79
hooded-heated-vest-2500mah-heated-gloves-f1117-03601s,Vehicle Fitment,Universal,,,,,F1117-03601SBK+F1109-01805MBK-ZH,199.99,163.99
classic-heated-vest-2500mah-heated-gloves-f1117-03501s,Vehicle Fitment,Universal,,,,,F1117-03501SBK+F1109-01805MBK-ZH,199.99,163.99
winter-heated-vest-heated-hoodie-f1117-03401s,Vehicle Fitment,Universal,,,,,F1117-03401SBK+F1117-04901SBK,179.99,147.59
winter-heated-vest-classic-heated-jacket-f1117-03401s,Vehicle Fitment,Universal,,,,,F1117-03401SBK+F1117-03701MBK,169.99,139.39
winter-heated-vest-heated-skiing-gloves-f1117-03401s,Vehicle Fitment,Universal,,,,,F1117-03401SBK+F1109-07201SBK,159.99,131.19
4-bow-bimini-top-foldable-67-96-width-b1604-03101g,Vehicle Fitment,Universal,,,,,B1604-03101GY,189.99,155.79
winter-heated-vest-7-4v-heated-gloves-unisex-heated-socks-f1117-03401s,Vehicle Fitment,Universal,,,,,F1117-03401SBK+F1109-08012-BKM+F1121-00202-OGS,259.99,213.19
aluminum-lower-door-inserts-for-can-am-maverick-x3-ftvdi009,Vehicle Fitment,Can-Am,,,,,FTVDI009,109.99,90.19
soft-cab-enclosure-doors-rear-soft-windshield-for-kubota-rtv-b0110-14201b,Vehicle Fitment,Universal,,,,,B0110-14201BK,239.99,196.79
soft-front-windshield-window-for-cfmoto-uforce-1000-1000xl-b0110-13401b,Vehicle Fitment,Cfmoto,,,,,B0110-13401BK,59.99,49.19
front-and-rear-door-bags-for-can-am-maverick-x3-max-red-bzh0266-02,Vehicle Fitment,Can-Am,,,,,BZH0266-02,109.99,90.19
door-bags-with-removable-knee-pads-for-can-am-maverick-x3-red-b0113-16001b,Vehicle Fitment,Can-Am,,,,,B0113-16001BK,44.49,36.48
fleece-heated-vest-women-battery-not-included-f1117-07701s,Vehicle Fitment,Universal,,,,,F1117-07701SBK,69.99,57.39
