Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Fare Freight Package Type (product.metafields.app--65750532097--fare_freight.package_type),Height (product.metafields.next_cart.height),Length (product.metafields.next_cart.length),Width (product.metafields.next_cart.width),Color (product.metafields.shopify.color-pattern),Features (product.metafields.shopify.features),Fit type (product.metafields.shopify.fit-type),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Manufacturer type (product.metafields.shopify.manufacturer-type),Material (product.metafields.shopify.material),Vehicle seating features (product.metafields.shopify.vehicle-seating-features),Vehicle type (product.metafields.shopify.vehicle-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / Canada,Price / Canada,Compare At Price / Canada,Status
available-2026-can-am-defender-max-hd11-project-whiskey-alpha,SOLD - 2026 Can-Am Defender Max HD11 - Project Whiskey Alpha,"<div class=""product__description rte quick-add-hidden"">
<p>Own the first 2026 Can-Am Defender HD11 Limited Outfitted and ready to go! To our knowledge, this was the first major rigged/built HD11 in the entire U.S. Now, it can be yours. It's brand new and ready to get worked!</p>
<p>We did a very unique desert tan and black color combo that is absolutely gorgeous! Looks mean, and even stays clean. See specs below:</p>
<ul>
<li>Ranch Armor Limited Specific Top (Headliner, etc.) pack 350 Game Light Package ALL THE WAY AROUND and Premium Racks. <br>
</li>
<li>Ranch Armor Front Replacement Bumper with Optional Headlight Guards</li>
<li>Ranch Armor Front Folding Hood Basket</li>
<li>Ranch Armor Aluminum 5' Flatbed with Rub/Tie-Down Rails, Rear Tail Lights, and Integrated Hitch. Hitch support added for robust towing.</li>
<li>Ranch Armor Headache Rack that protects the back window and is winch/hoist ready with a FULL-Size Spare Tire Mount<br>
</li>
<li>Ranch Armor Rear seat cup holder basket</li>
<li>Ranch Armor Under-Seat Rifle Holders<br>
</li>
<li>Ranch Armor Side Step/Nerf Bars</li>
<li>35"" Alpha Tires</li>
<li>15"" Valor V08 Beadlock Wheels with Desert Tan matching beads<br>
</li>
<li>Ceramic Tint all around</li>
<li>38 Hours of Installation Labor</li>
</ul>
<p>Local Pick-up or Delivery available worldwide. If purchased online or via a credit card 3.5% Transaction fee will be added. </p>
</div>",Ranch Armor,Vehicles & Parts > Vehicles > Motor Vehicles > Off-Road and All-Terrain Vehicles > ATVs & UTVs,,,TRUE,Title,Default Title,,,,,,,,,0,shopify,0,deny,manual,63950,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/2026_Can-Am_Defender_HD11_Project_Whiskey_Alpha_custom_UTV_with_premium_armor_off-road_accessories_and_tactical_utility_upgrades..jpg?v=1763354769,1,"2026 Can-Am Defender HD11 Project Whiskey Alpha—custom UTV with premium armor, off-road accessories, and tactical utility upgrades.",FALSE,Ranch Armor 2026 Can-Am HD11 Limited | Tactical Desert Tan/Black UTV with 35” Tires,"Project Whiskey Alpha - 2026 Can-Am Defender HD11 Limited in Desert Tan/Black, fully equipped with premium armor upgrades and a 35” wheel and tire combo.",,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
available-2026-can-am-defender-max-hd11-project-whiskey-alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/Project_Whiskey_Alpha_Can-Am_Defender_HD11_showcasing_custom_doors_skid_plating_and_a_heavy-duty_off-road_stance..jpg?v=1763355814,2,"Project Whiskey Alpha Can-Am Defender HD11 showcasing custom doors, skid plating, and a heavy-duty off-road stance.",,,,,,,,,,,,,,,,,,,,,,,,,,,
available-2026-can-am-defender-max-hd11-project-whiskey-alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/Rear_angle_of_the_Project_Whiskey_Alpha_Can-Am_Defender_HD11_with_upgraded_cargo_bed_accessories_and_protective_rear_bumper..jpg?v=1763355814,3,Rear angle of the Project Whiskey Alpha Can-Am Defender HD11 with upgraded cargo bed accessories and protective rear bumper.,,,,,,,,,,,,,,,,,,,,,,,,,,,
available-2026-can-am-defender-max-hd11-project-whiskey-alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/Close-up_of_Whiskey_Alpha_s_custom_steel_armor_paneling_on_the_2026_Can-Am_Defender_HD11..jpg?v=1763355814,4,Close-up of Whiskey Alpha’s custom steel armor paneling on the 2026 Can-Am Defender HD11.,,,,,,,,,,,,,,,,,,,,,,,,,,,
available-2026-can-am-defender-max-hd11-project-whiskey-alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/Front_angle_of_2026_Can-Am_Defender_HD11_Project_Whiskey_Alpha_with_upgraded_bumper_high-output_LED_bar_and_reinforced_front-end_armor..jpg?v=1763355814,5,"“Front angle of 2026 Can-Am Defender HD11 Project Whiskey Alpha with upgraded bumper, high-output LED bar, and reinforced front-end armor.”",,,,,,,,,,,,,,,,,,,,,,,,,,,
available-2026-can-am-defender-max-hd11-project-whiskey-alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/Whiskey_Alpha_edition_Can-Am_Defender_HD11_designed_for_heavy-duty_utility_outdoor_work_and_off-road_adventure.jpg?v=1763355814,6,"Whiskey Alpha edition Can-Am Defender HD11 designed for heavy-duty utility, outdoor work, and off-road adventure",,,,,,,,,,,,,,,,,,,,,,,,,,,
available-2026-can-am-defender-max-hd11-project-whiskey-alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/Custom_Can-Am_Defender_HD11_Project_Whiskey_Alpha_with_premium_steel_protection_aggressive_tires_and_performance_accessories_side_profile..jpg?v=1763355814,7,"Custom Can-Am Defender HD11 Project Whiskey Alpha with premium steel protection, aggressive tires, and performance accessories—side profile.",,,,,,,,,,,,,,,,,,,,,,,,,,,
available-2026-can-am-defender-max-hd11-project-whiskey-alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/2026_Can-Am_Defender_HD11_Whiskey_Alpha_build_showing_rear_armor_bed_rack_system_and_utility_add-on_equipment..jpg?v=1763355814,8,"2026 Can-Am Defender HD11 Whiskey Alpha build showing rear armor, bed rack system, and utility add-on equipment.",,,,,,,,,,,,,,,,,,,,,,,,,,,
available-2026-can-am-defender-max-hd11-project-whiskey-alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/Fully_outfitted_2026_Can-Am_Defender_HD11_Project_Whiskey_Alpha_with_reinforced_panels_LED_lighting_and_rugged_utility_enhancements.jpg?v=1763355814,9,"Fully outfitted 2026 Can-Am Defender HD11 Project Whiskey Alpha with reinforced panels, LED lighting, and rugged utility enhancements",,,,,,,,,,,,,,,,,,,,,,,,,,,
available-2026-can-am-defender-max-hd11-project-whiskey-alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/2026_Can-Am_Defender_HD11_Project_Whiskey_Alpha_custom_tactical_UTV_with_full_armor_package_and_upgraded_suspension_system..jpg?v=1763355814,10,2026 Can-Am Defender HD11 Project Whiskey Alpha custom tactical UTV with full armor package and upgraded suspension system.,,,,,,,,,,,,,,,,,,,,,,,,,,,
