PRICE_SHEET,PRODUCT Category,PRODUCT_TYPE,Tags,VENDOR,SKU,BARCODE,Price,Cost per item,BOX_LENGTH,BOX_WIDTH,BOX_HEIGHT,BOX_UNITS,PRODUCT_LBS,HSC,HSC_COUNTRY_OF_ORIGIN,IMAGE_URL1,IMAGE_URL2,IMAGE_URL3,IMAGE_URL4,IMAGE_URL5,IMAGE_URL6,TITLE,DESCRIPTION
NSDEALER,Parts and Accessories,Parts and Accessories,"Audio, Comms & Navigation",Rugged Radios,110V-5R,01038799853254,$5.00 ,$3.50 ,9,2,1.5,in,0.2,8504409058,CN,https://cdn.shopify.com/s/files/1/0240/3280/4960/products/rugged-radios-110-volt-wall-adapter-for-rh5r-charging-cradle-761521.jpg?v=1637185527,,,,,,110 Volt Wall Adapter for Rugged Handheld Radio Charging Cradle,"110 Volt Wall Adapter for Rugged Handheld Radio Charging Cradle Replacement works to recharge the Handheld Rugged Radio, making it compatible with several Charging Cradles for Handheld Rugged Radios including the GMR2, GMR2 PLUS, RH5R, RH5R-V2, RDH16-U, RDH16-U-HV, RDH-X, and RDH-X-HV models. Its function requires a charging cradle."
NSDEALER,Parts and Accessories,Parts and Accessories,"Audio, Comms & Navigation",Rugged Radios,110V-6PACK,01039374006704,$12.00 ,$8.40 ,9,2,1.5,in,0.3,8544422000,CN,https://cdn.shopify.com/s/files/1/0240/3280/4960/files/rugged-radios-replacement-power-cord-for-6-pack-bank-chargers-228145.jpg?v=1703025926,https://cdn.shopify.com/s/files/1/0240/3280/4960/files/rugged-radios-replacement-power-cord-for-6-pack-bank-chargers-609981.jpg?v=1703025922,,,,,Replacement Power Cord for 6-Pack Bank Chargers,"Replacement Power Cord for 6-Pack Bank Chargers ensures continual power. Suitable for all Rugged Radios 6-Bank Chargers, this power cord assists in maintaining charged communications, ready for work, race, or play."
NSDEALER,Parts and Accessories,Parts and Accessories,"Audio, Comms & Navigation",Rugged Radios,110V-USB,01039374006377,$10.00 ,$7.00 ,9,2,1.5,in,0.4,8504409058,CN,,,,,,,110 Volt Wall Adapter USB Charge Cable,The 110 Volt Wall Adapter USB Charge Cable comes with the ability to charge multiple devices simultaneously. Its dual-port mechanism aids in better connectivity. Its compact size makes it handy and easy to use. It also comes with an LED indicator for charge indication. It is compatible with all USB powered devices.
NSDEALER,Parts and Accessories,Parts and Accessories,"Audio, Comms & Navigation",Rugged Radios,110V-V3,01039374005306,$10.00 ,$7.00 ,9,2,1.5,in,0.2,8504409058,CN,https://cdn.shopify.com/s/files/1/0240/3280/4960/products/rugged-radios-110-volt-wall-adapter-for-v3-clearancedemo-485261.jpg?v=1637192775,,,,,,110 Volt Wall Adapter for Rugged Handheld Radios,110 Volt Wall Adapter for Rugged Handheld Radios is a directly connecting replacement accessory for several radio models: GMR2 GMR2-PLUS R1 V3. It can also associate with BAT-RH5R-XL. The adapter operates by connecting straight to the battery's port.
NSDEALER,Helmet Wiring Kits,Helmet Wiring Kits,"Audio, Comms & Navigation",Rugged Radios,2P-SPORT-HK,01039374006803,$178.00 ,$124.60 ,8,6,1,in,0.75,8518302000,CN,https://cdn.shopify.com/s/files/1/0240/3280/4960/files/2P-SPORT-HK_07154d73-b540-4522-8692-24b454a92d25.jpg?v=1742247383,https://cdn.shopify.com/s/files/1/0240/3280/4960/files/rugged-radios-sport-helmet-kits-and-cables-722789.jpg?v=1742247383,https://cdn.shopify.com/s/files/1/0240/3280/4960/files/rugged-radios-sport-helmet-kits-and-cables-470066.jpg?v=1742247383,https://cdn.shopify.com/s/files/1/0240/3280/4960/files/rugged-radios-sport-helmet-kits-and-cables-524248.jpg?v=1742247383,,,SUPER SPORT Wired Helmet and Cable Kit with Alpha Audio Speakers and Mic,"SUPER SPORT Wired Helmet and Cable Kit encompasses Alpha Audio Speakers and Mic, suitable for 2 and 4-wheel riders and compatible with all adventure bikes, dirt bikes, quads, and UTV. This lightweight kit provides race-level audio performance, delivering key functionality of full race kits. Package contains two helmet kits, dual cable bundle for intercom linkage, enhancing in-car communication for driver and passenger. Alpha Audio helmet speakers yield full-range sound, enhanced highs and lows, while the dynamic noise-canceling microphone assures clear voice transmission. Microphone positioning is facilitated with a full-flex boom mic. Secure connections courtesy of Snap-Lock Dura-Link connectors. The set includes durable cables made to endure rugged use and works seamlessly with all Rugged SUPER SPORT harnesses and cabling with 3.5mm Snap-Lock Dura-Link connectors. Installation involves use of 3M adhesive mounting and double-sided tape."
NSDEALER,Push-to-Talk,Push-to-Talk,"Audio, Comms & Navigation",Rugged Radios,2PACK-VM-PTT,01039374005276,$100.00 ,$70.00 ,6.75,3.75,0.25,in,0.55,8536509031,KR,https://cdn.shopify.com/s/files/1/0240/3280/4960/products/rugged-radios-velcro-mount-push-to-talk-ptt-bundle-511182.jpg?v=1665613192,https://cdn.shopify.com/s/files/1/0240/3280/4960/files/rugged-radios-velcro-mount-push-to-talk-ptt-buttons-for-intercoms-174571.jpg?v=1706735206,https://cdn.shopify.com/s/files/1/0240/3280/4960/files/rugged-radios-velcro-mount-push-to-talk-ptt-buttons-for-intercoms-867808.jpg?v=1706735209,,,,Velcro Mount Push to Talk (PTT) Buttons for Intercoms - Driver and Passenger PTT - Bundle,"Velcro Mount Push to Talk (PTT) Buttons for Intercoms is available both individually or as a convenient bundle. They come with tough cables which have extra length. Notable features include new rugged ABS housing, high bend test cable, industry standard 3 pin plug, and a water resistant PTT cover. This model also offers a quick Velcro mounting. The steering wheel PTT has coil cord while the passenger grab bar mount PTT comes straight. Compatible with Rugged Radios intercom RRP660, RRP660 PLUS, RRP696, and other brands like Avcomm, PCI Racer X, MRC. The cable length varies from 6ft coiled to 10ft when extended."
NSDEALER,Cables,Cables,"Audio, Comms & Navigation",Rugged Radios,3.5ST-M-3.5MONO-F,01039374006724,$6.00 ,$4.20 ,0.25,0.25,0.25,in,0.1,8536694010,CN,https://cdn.shopify.com/s/files/1/0240/3280/4960/files/3.5ST-M-3.5MONO-01.jpg?v=1716591853,https://cdn.shopify.com/s/files/1/0240/3280/4960/files/3.5ST-M-3.5MONO-02.jpg?v=1716591853,,,,,3.5 Stereo to Mono Adapter,3.5 Stereo to Mono Adapter allows the connection of mono earbuds to a stereo with a 3.5mm stereo male connector and a 3.5mm mono female adapter. This adapter is popular for Nitro Bee X applications for compatibility with mono earbuds.
NSDEALER,Universal Intercom Kits,Universal Intercom Kits,"Audio, Comms & Navigation",Rugged Radios,364-SS-2PHK,01039374006355,$503.00 ,$352.10 ,10,7,5,in,2.85,8517620090,CN,https://cdn.shopify.com/s/files/1/0240/3280/4960/products/rugged-radios-2-person-super-sport-364-communication-intercom-system-with-helmet-kits-359551.jpg?v=1659991728,https://cdn.shopify.com/s/files/1/0240/3280/4960/products/rugged-radios-2-person-super-sport-364-communication-intercom-system-with-helmet-kits-865526.jpg?v=1659991713,https://cdn.shopify.com/s/files/1/0240/3280/4960/products/rugged-radios-2-person-super-sport-364-communication-intercom-system-with-helmet-kits-156907.jpg?v=1735347639,https://cdn.shopify.com/s/files/1/0240/3280/4960/products/rugged-radios-2-person-super-sport-364-communication-intercom-system-with-helmet-kits-487102.jpg?v=1735347639,https://cdn.shopify.com/s/files/1/0240/3280/4960/products/rugged-radios-2-person-super-sport-364-communication-intercom-system-with-helmet-kits-807589.jpg?v=1735347639,,2 Person - 364 Super Sport - Communication Intercom System with Helmet Kits,"The 2 Person - 364 Super Sport - Communication Intercom System with Helmet Kits enables streaming music, conversation between driver and passenger and easy usage. By turning on and adjusting the volume, communication begins. Pairing your phone with Bluetooth 5.0 facilitates addition of music. The Super Sport cabling, with a lightweight design and press-fit 3.5mm connectors, provides secure, waterproof headset connections. It is equipped with a fiber weave abrasion resistant shield for durability. Expanding a single headset port into two, allows for conversations with up to four passengers. Bluetooth 5.0 and support for aptX provides high fidelity music and GPS navigation. The kit facilitates making and receiving phone calls when you connect your smartphone. Super Sport cabling offers easy installation and built-in PTT buttons permit vehicle-to-vehicle communication. Included in the kit are the RRP364-BTC Intercom, a two-position intercom cable, and a Super Sport helmet kit for both positions. As a reminder, external push-to-talk (PTT) buttons are not available for this unit."
NSDEALER,Parts and Accessories,Parts and Accessories,"Audio, Comms & Navigation",Rugged Radios,4PRX,01038799851833,$145.00 ,$101.50 ,8.75,5,3.5,in,1,8517620090,KR,https://cdn.shopify.com/s/files/1/0240/3280/4960/products/rugged-radios-four-place-expansion-for-intercoms-341073.jpg?v=1640288113,,,,,,Four Place Expansion for Rugged OFFROAD Intercom Systems,"Four Place Expansion for Rugged OFFROAD Intercom Systems turns your four person intercom setup into eight. This product offers plug and play expansion with quick and easy installation, making it apt for airboats, military vehicles, or any large group in high noise environments. You can plug your 2-way radio headset directly into a 5-pin jack or add a CS-OFF intercom cable for usage with your favorite Ultimate Headset or Offroad Helmet Kit."
NSDEALER,Race Kits,Race Kits,"Audio, Comms & Navigation",Rugged Radios,5050-2P-HK,01039374003968,$759.00 ,$531.30 ,9.5,7,4,in,2.1,8517620090,KR,https://cdn.shopify.com/s/files/1/0240/3280/4960/files/5050-2P-HK-UNI.jpg?v=1738792356,https://cdn.shopify.com/s/files/1/0240/3280/4960/products/rugged-radios-rrp5050-2-person-helmet-kit-system-230560.jpg?v=1738792356,https://cdn.shopify.com/s/files/1/0240/3280/4960/products/rugged-radios-rrp5050-2-person-helmet-kit-system-504859.jpg?v=1738792356,https://cdn.shopify.com/s/files/1/0240/3280/4960/products/rugged-radios-rrp5050-2-person-helmet-kit-system-900488.jpg?v=1738792356,https://cdn.shopify.com/s/files/1/0240/3280/4960/products/rugged-radios-rrp5050-2-person-helmet-kit-system-855351.jpg?v=1738792356,https://cdn.shopify.com/s/files/1/0240/3280/4960/files/PTT-VM2-SC-01.jpg?v=1738792356,RRP5050 2 Person Helmet Kit System,"RRP5050 2 Person Helmet Kit System incorporates two, 3.5-watt amplifiers for separate volume controls for driver and co-driver. Includes a sealed 3.5mm port that allows connection of MP3 player or phone for music enjoyment. Facilitates connection to a 2-way handheld or mobile radio for communication with other cars. Features OFFROAD construction and special shape for easy installation. Engineered for high-noise environments. Offers adjustable depth and angle mounting and high-output amplifier for enhanced music listening. Comes with mounting brackets and hardware. Package includes one RRP5050 Intercom, two Helmet Kits, two 12' Foot Intercom Cables, one Driver Push-to-Talk, and one Passenger Push-to-Talk."
