Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Hybrid Trim Style Package (Tier 4),hybrid-trim-style-package-tier-4,Hybrid trim body package including partial front and rear fender deletes.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,1499,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Full Tube Body Package (Tier 5),full-tube-body-package-tier-5,Complete full tube body conversion with custom aluminum panels.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,2499,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Front Fender Delete Kit,front-fender-delete-kit,Aluminum front fender delete kit.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,399,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Rear Fender Delete Kit,rear-fender-delete-kit,Aluminum rear fender delete kit.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,399,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Hood Delete / Aluminum Hood Kit,hood-delete-aluminum-hood-kit,Replacement aluminum hood panel.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,349,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Tube Bed Conversion (Open Bed),tube-bed-conversion-open-bed,Tube bed conversion for open cargo layout.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,1299,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Enclosed Trunk System (No Spare Carrier),enclosed-trunk-system-no-spare-carrier,Rear trunk with lid and aluminum flooring.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,1699,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Spare Tire Carrier Add-On,spare-tire-carrier-add-on,Rear-mounted spare tire carrier.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,499,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Full Rear Tube Bed + Trunk + Spare Package,full-rear-tube-bed-trunk-spare-package,Complete tube bed + trunk + spare mounting system.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,2499,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Front Driver & Passenger Grab Handle Package,front-driver-passenger-grab-handle-package,Pair of welded grab handles for driver and passenger.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,249,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
